kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	5	0.153	0.809			AT5G17300	-0.0	0.141	0.211	0.07	0.129
2way	5	0.153	0.809			AT2G45680	-0.0	0.007	0.037	0.03	0.131
2way	5	0.153	0.809			AT3G58630	-0.0	0.007	0.037	0.03	0.131
2way	5	0.153	0.809			AT5G47230	-0.0	0.007	0.037	0.03	0.131
2way	5	0.153	0.809			AT3G23240	-0.0	0.052	0.106	0.054	0.133
2way	5	0.153	0.809			AT5G47370	0.27	0.185	0.118	-0.067	0.139
2way	5	0.153	0.809			AT5G62470	-0.0	0.044	0.012	-0.032	0.148
2way	5	0.153	0.809			AT5G18450	-0.0	0.059	0.112	0.053	0.149
2way	5	0.153	0.809			AT5G60130	-0.0	0.059	0.112	0.053	0.149
2way	5	3.62	1.369			AT4G00250	-0.0	0.136	0.043	-0.093	0.15
2way	5	3.62	1.369			AT5G47390	-0.0	0.136	0.043	-0.093	0.15
2way	5	0.153	0.809			AT2G42590	-0.0	0.059	0.025	-0.034	0.151
2way	5	0.153	0.809			AT2G23290	-0.0	0.148	0.093	-0.055	0.153
2way	5	0.153	0.809			AT3G44480	-0.0	0.089	0.149	0.06	0.153
2way	5	0.153	0.809			AT4G26640	-0.885	0.022	0.062	0.04	0.153
2way	5	3.62	1.369			AT3G49530	-0.0	0.227	0.101	-0.126	0.153
2way	5	0.153	0.809			AT2G32460	-0.0	0.119	0.068	-0.05	0.158
2way	5	0.153	0.809			AT4G01680	-0.0	0.119	0.068	-0.05	0.158
2way	5	0.153	0.809			AT2G45420	-0.0	0.133	0.199	0.065	0.161
2way	5	0.153	0.809			AT5G22990	-0.0	0.133	0.199	0.065	0.161
2way	5	0.153	0.809			AT2G28810	-0.0	0.096	0.155	0.059	0.163
2way	5	0.153	0.809			AT1G54330	-0.0	0.126	0.075	-0.051	0.17
2way	5	0.153	0.809			AT2G45410	-0.0	0.104	0.161	0.058	0.173
2way	5	3.62	1.369			AT1G25580	0.67	0.864	0.71	-0.153	0.173
2way	5	3.62	1.369			AT1G32150	-0.0	0.045	0.188	0.143	0.174
2way	5	3.62	1.369			AT3G50260	-0.0	0.045	0.188	0.143	0.174
